,rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,batSong,userID,lang,timeEnd,timeBegin,sequenceTrials,nodeIndex,tIndex,studyID,uniqueID,offset,nChanges,initialOffset,performance,infoUser,study_result,comp_result,view_history,success,timeout,failed_images,failed_audio,failed_video,rtAudio,baseLatencyBegin,baseLatencyEnd,outputLatencyBegin,outputLatencyEnd,question_order,userIDAlicia
4,[19159.999999999996],./songs/movementTapAudio/elPesebre.mp3,0.0,audio-button-response,4.0,170075.0,0.0-0.0-5.0-0.0,,142,eng,1755868035427.0,1755867862746.0,"bat,tapping",1,0,m12,null,,,,,,37097,data.txt,,,,,,,[19206],0.01,0.01,0.04,0.048,,
5,1686,Is someone helping you to complete this task?,0.0,html-button-response,5.0,172573.0,0.0-0.0-7.0,,142,eng,1755868035427.0,1755867862746.0,"bat,tapping",1,0,m12,null,,,,,,37097,data.txt,,,,,,,,,,,,,
0,1994.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,1997.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/floorplanNoLie/floorplanNoLieModifiedLow.mp3,m12_100,fi,1743518957883.0,1743518919042.0,"tapping,bat",3,5,m12,null,,,,,,24646,data.txt,,,,,,,,,,,,,
1,34317.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,36315.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/floorplanNoLie/floorplanNoLieModifiedLow.mp3,m12_100,fi,1743518957883.0,1743518919042.0,"tapping,bat",3,5,m12,null,0.0,3.0,7.0,,,24646,data.txt,,,,,,,,,,,,,
2,1460.0,,{'Q0': 3},survey-likert,2.0,37777.0,0.0-0.0-2.0,,m12_100,fi,1743518957883.0,1743518919042.0,"tapping,bat",3,5,m12,null,,,,,,24646,data.txt,,,,,,,,,,,,[0],
3,783.0,,{'Q0': 3},survey-likert,3.0,38567.0,0.0-0.0-3.0,,m12_100,fi,1743518957883.0,1743518919042.0,"tapping,bat",3,5,m12,null,,,,,,24646,data.txt,,,,,,,,,,,,[0],
0,2802.0,,,instructions,0.0,2803.0,0.0-0.0-0.0,,m12_100,fi,1743518733437.0,1743518672972.0,"tapping,bat",3,0,m12,null,,,,,,24641,data.txt,"[{'page_index': 0, 'viewing_time': 2801}]",,,,,,,,,,,,
1,57418.0,,,instructions,1.0,60220.0,0.0-0.0-1.0,,m12_100,fi,1743518733437.0,1743518672972.0,"tapping,bat",3,0,m12,null,,,,,,24641,data.txt,"[{'page_index': 0, 'viewing_time': 5116}, {'page_index': 1, 'viewing_time': 9215}, {'page_index': 2, 'viewing_time': 2307}, {'page_index': 3, 'viewing_time': 2109}, {'page_index': 4, 'viewing_time': 10820}, {'page_index': 5, 'viewing_time': 9064}, {'page_index': 6, 'viewing_time': 3162}, {'page_index': 7, 'viewing_time': 6187}, {'page_index': 8, 'viewing_time': 1493}, {'page_index': 9, 'viewing_time': 4842}, {'page_index': 10, 'viewing_time': 3103}]",,,,,,,,,,,,
0,1272,"<a href=""https://mmbb.ltdk.helsinki.fi/utils/Privacy_Notice_MMBB_fi.pdf"" target=""_blank"">Tietosuojailmoitus<span class=""new-tab-icon"" aria-hidden=""true""> 🔗</span></a><br><a href=""https://mmbb.ltdk.helsinki.fi/utils/informed_consent_fi.pdf"" target=""_blank"">Tiedote Tutkimuksesta<span class=""new-tab-icon"" aria-hidden=""true""> 🔗</span></a>",0.0,html-button-response,0.0,1278.0,0.0-0.0-0.0,,148,fi,1751209283507.0,1751209260436.0,"bat,tapping",1,0,m12,null,,,,,,33895,data.txt,,,,,,,,,,,,,
1,,,,preload,1.0,2439.0,0.0-0.0-1.0,,148,fi,1751209283507.0,1751209260436.0,"bat,tapping",1,0,m12,null,,,,,,33895,data.txt,,True,False,[],[],[],,,,,,,
2,9149,,,instructions,2.0,11590.0,0.0-0.0-2.0,,148,fi,1751209283507.0,1751209260436.0,"bat,tapping",1,0,m12,null,,,,,,33895,data.txt,"[{'page_index': 0, 'viewing_time': 2187}, {'page_index': 1, 'viewing_time': 1894}, {'page_index': 2, 'viewing_time': 3339}, {'page_index': 3, 'viewing_time': 1728}]",,,,,,,,,,,,
3,5922,,,instructions,3.0,17514.0,0.0-0.0-4.0-0.0,,148,fi,1751209283507.0,1751209260436.0,"bat,tapping",1,0,m12,null,,,,,,33895,data.txt,"[{'page_index': 0, 'viewing_time': 2583}, {'page_index': 1, 'viewing_time': 733}, {'page_index': 2, 'viewing_time': 518}, {'page_index': 3, 'viewing_time': 497}, {'page_index': 4, 'viewing_time': 534}, {'page_index': 5, 'viewing_time': 1057}]",,,,,,,,,,,,
4,[1034.6666666666665],./songs/movementTapAudio/elPesebre.mp3,0.0,audio-button-response,4.0,18561.0,0.0-0.0-6.0-0.0,,148,fi,1751209283507.0,1751209260436.0,"bat,tapping",1,0,m12,null,,,,,,33895,data.txt,,,,,,,[1041],0.004,0.004,0.036000000000000004,0.036000000000000004,,
5,3022,Auttaako joku sinua tämän tehtävän suorittamisessa?,0.0,html-button-response,5.0,22388.0,0.0-0.0-7.0,,148,fi,1751209283507.0,1751209260436.0,"bat,tapping",1,0,m12,null,,,,,,33895,data.txt,,,,,,,,,,,,,
0,773.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,780.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/training/trainingBaseModified.mp3,142,fi,1759936617839.0,1759936590616.0,"tapping,bat",3,1,m12,null,,,,,,38025,data.txt,,,,,,,,,,,,,
1,21273.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,22055.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/training/trainingBaseModified.mp3,142,fi,1759936617839.0,1759936590616.0,"tapping,bat",3,1,m12,null,1.0,8.0,7.0,,,38025,data.txt,,,,,,,,,,,,,
2,3096.0,,{'Q0': 4},survey-likert,2.0,25154.0,0.0-0.0-2.0,,142,fi,1759936617839.0,1759936590616.0,"tapping,bat",3,1,m12,null,,,,,,38025,data.txt,,,,,,,,,,,,[0],
3,1771.0,,{'Q0': 4},survey-likert,3.0,26928.0,0.0-0.0-3.0,,142,fi,1759936617839.0,1759936590616.0,"tapping,bat",3,1,m12,null,,,,,,38025,data.txt,,,,,,,,,,,,[0],
0,1872.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,1877.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/eclecticElectric/eclecticElectricModifiedLow.mp3,m12_100,fi,1743519072674.0,1743519013526.0,"tapping,bat",3,7,m12,null,,,,,,24648,data.txt,,,,,,,,,,,,,
1,53921.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,55797.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/eclecticElectric/eclecticElectricModifiedLow.mp3,m12_100,fi,1743519072674.0,1743519013526.0,"tapping,bat",3,7,m12,null,0.0,2.0,7.0,,,24648,data.txt,,,,,,,,,,,,,
2,1904.0,,{'Q0': 3},survey-likert,2.0,57703.0,0.0-0.0-2.0,,m12_100,fi,1743519072674.0,1743519013526.0,"tapping,bat",3,7,m12,null,,,,,,24648,data.txt,,,,,,,,,,,,[0],
3,1176.0,,{'Q0': 3},survey-likert,3.0,58886.0,0.0-0.0-3.0,,m12_100,fi,1743519072674.0,1743519013526.0,"tapping,bat",3,7,m12,null,,,,,,24648,data.txt,,,,,,,,,,,,[0],
0,246.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,247.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/training/trainingBaseModified.mp3,142,eng,1755868181515.0,1755868131620.0,"bat,tapping",2,1,m12,null,,,,,,37099,data.txt,,,,,,,,,,,,,
1,37575.0,"<div id=""titleBAT"">Adjust the beat<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,37823.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/training/trainingBaseModified.mp3,142,eng,1755868181515.0,1755868131620.0,"bat,tapping",2,1,m12,null,4.0,10.0,7.0,,,37099,data.txt,,,,,,,,,,,,,
2,5904.0,,{'Q0': 3},survey-likert,2.0,43729.0,0.0-0.0-2.0,,142,eng,1755868181515.0,1755868131620.0,"bat,tapping",2,1,m12,null,,,,,,37099,data.txt,,,,,,,,,,,,[0],
